Perfil_latente,Pedidos_mensuales,Gasto_promedio,Tiempo_promedio_entrega,Variedad_productos,Gasto_mensual_aprox,Indice_experiencia_logistica,Region,Canal,Metodo_pago,Edad,Segmento_edad,Antiguedad_meses,Satisfaccion_1a5,Tuvo_devolucion,Nivel_fidelidad,Riesgo_churn,Suscripcion
Basico,1,3.03905320530873,35.08258658600394,3,3.03905320530873,0.025651838193091275,Lima,Web,Transferencia,25,18-25,19,2,1,Plata,Medio,0
Basico,3,12.347889478949554,37.74159399277894,3,37.04366843684866,0.02414139037647761,Lima,Tienda,Efectivo,36,36-50,20,2,1,Plata,Medio,0
Basico,4,9.927301498390923,49.76742063479419,2,39.70920599356369,0.02195337681886899,Lima,App,Billetera,28,26-35,3,1,1,Bronce,Alto,0
Basico,1,13.607353743949217,32.75626477598951,3,13.607353743949217,0.024948631305028616,Lima,App,Transferencia,32,26-35,42,2,1,Oro,Medio,1
Basico,3,6.714188443471586,37.021543233460285,3,20.142565330414758,0.028609023735455638,Provincia,App,Tarjeta,18,18-25,1,1,1,Bronce,Alto,0
Basico,1,1.0,45.069910017240005,1,1.0,0.024222630145326572,Provincia,App,Efectivo,36,36-50,16,1,1,Bronce,Alto,0
Basico,4,10.837251575035555,46.990185659305254,1,43.34900630014222,0.024057383480028543,Provincia,App,Tarjeta,38,36-50,16,1,1,Plata,Alto,0
Basico,4,10.874691030045918,48.79355126629245,4,43.49876412018367,0.0238497343796256,Provincia,Web,Transferencia,31,26-35,17,1,1,Plata,Alto,0
Basico,2,4.927985117180644,40.10568041107845,1,9.855970234361289,0.02193013351669672,Lima,Web,Transferencia,35,26-35,27,2,1,Plata,Alto,0
Basico,0,7.064501362400181,59.0225298904768,2,0.0,0.021694507567897887,Provincia,Tienda,Efectivo,40,36-50,7,1,1,Bronce,Alto,0
Basico,0,18.265653231159703,42.23449848239137,3,0.0,0.026295759275491208,Lima,App,Billetera,26,26-35,10,2,1,Bronce,Alto,0
Basico,2,9.08316815753859,41.32663362666294,1,18.16633631507718,0.026371806862863882,Provincia,Web,Billetera,32,26-35,14,2,1,Bronce,Medio,0
Basico,2,12.192876929128648,48.64015270598501,1,24.385753858257296,0.027933736136787388,Provincia,Tienda,Efectivo,36,36-50,1,1,0,Bronce,Alto,0
Basico,2,8.048020517894848,47.40345988589923,4,16.096041035789696,0.022474900864386187,Provincia,App,Tarjeta,23,18-25,11,1,0,Bronce,Alto,0
Basico,1,3.72909130344053,52.19149962834579,5,3.72909130344053,0.020727922974455342,Lima,Web,Billetera,31,26-35,14,1,1,Bronce,Alto,0
Basico,5,9.489225259612283,40.75033309221318,1,47.446126298061415,0.025364879910154868,Provincia,Web,Transferencia,18,18-25,3,1,1,Bronce,Alto,0
Basico,4,9.203186319141684,41.70323446997508,1,36.81274527656674,0.025130144509832884,Provincia,Web,Transferencia,25,18-25,32,2,0,Oro,Medio,0
Basico,0,8.800365283994886,48.99085713225078,5,0.0,0.020689407134462157,Provincia,Web,Transferencia,42,36-50,13,1,1,Bronce,Alto,1
Basico,1,9.656077493480822,44.03646677695521,1,9.656077493480822,0.022973829290691458,Lima,App,Billetera,30,26-35,3,1,0,Bronce,Alto,0
Basico,2,10.79280481493691,40.67194051396819,2,21.58560962987382,0.023158237782789557,Lima,Web,Billetera,24,18-25,4,2,1,Bronce,Medio,0
Basico,2,9.54964914623858,31.794916117216122,1,19.09929829247716,0.02853440113396519,Lima,Web,Billetera,20,18-25,2,3,0,Bronce,Bajo,0
Basico,0,6.207981496157909,39.42189391867303,2,0.0,0.022525749008126976,Lima,App,Billetera,47,36-50,2,1,1,Bronce,Alto,0
Basico,2,11.458554374685816,41.43506487001157,2,22.917108749371632,0.027507048593732254,Provincia,Tienda,Efectivo,26,26-35,13,1,1,Bronce,Alto,0
Basico,2,4.1518847340327305,47.57362566054882,1,8.303769468065461,0.02830463789351536,Provincia,Web,Billetera,26,26-35,14,1,1,Bronce,Alto,0
Basico,3,3.8489276281473987,41.004394319281985,3,11.546782884442196,0.025467233247451763,Lima,Web,Tarjeta,35,26-35,15,2,1,Plata,Medio,0
Basico,1,12.217541484104704,49.099536039354746,3,12.217541484104704,0.02626668709373324,Provincia,Tienda,Efectivo,25,18-25,17,1,0,Bronce,Alto,0
Basico,0,11.52106081640607,37.53321247651307,3,0.0,0.02506768178318227,Lima,Web,Tarjeta,33,26-35,14,2,0,Bronce,Alto,0
Basico,2,9.827813904777893,28.56631485244558,1,19.655627809555785,0.029590095659688637,Lima,App,Billetera,27,26-35,32,3,1,Plata,Medio,1
Basico,2,5.813654485734784,55.81426383933826,1,11.627308971469567,0.021836882988772927,Provincia,Web,Tarjeta,21,18-25,19,1,0,Plata,Alto,0
Basico,1,7.876267177977774,56.66937717000831,2,7.876267177977774,0.021441544417888096,Provincia,Tienda,Efectivo,32,26-35,1,1,1,Bronce,Alto,0
Basico,3,9.211759756940488,22.15714535304395,1,27.635279270821464,0.031986399250695845,Lima,Web,Tarjeta,33,26-35,10,4,0,Bronce,Bajo,0
Basico,2,5.21231809427766,49.35061169570717,4,10.42463618855532,0.021790153012037055,Lima,Tienda,Efectivo,24,18-25,1,1,1,Bronce,Alto,0
Basico,3,7.782914025930301,36.41407626638446,4,23.348742077790902,0.02706553554116717,Lima,App,Transferencia,31,26-35,10,2,1,Bronce,Medio,0
Basico,2,11.95699101453004,42.70174880129523,1,23.91398202906008,0.02208242687454883,Lima,App,Tarjeta,33,26-35,1,1,0,Bronce,Alto,0
Basico,0,14.28191609286765,44.53837149107775,1,0.0,0.024595546204009666,Lima,Web,Billetera,22,18-25,8,2,0,Bronce,Alto,0
Basico,2,8.741695742024348,37.89379803362416,2,17.483391484048695,0.02430495259501421,Lima,Web,Billetera,34,26-35,9,1,1,Bronce,Alto,0
Basico,1,12.269465062948296,54.563726170731066,2,12.269465062948296,0.024953516743164983,Provincia,App,Billetera,29,26-35,1,1,1,Bronce,Alto,1
Basico,1,4.257819788237598,43.89774709725103,4,4.257819788237598,0.021249177062937247,Lima,Tienda,Efectivo,29,26-35,10,1,0,Bronce,Alto,0
Basico,3,11.978353723340835,30.35089607631442,1,35.93506117002251,0.0287339313189928,Lima,App,Billetera,25,18-25,6,3,0,Bronce,Bajo,0
Basico,1,7.588154755817557,48.94315949042094,1,7.588154755817557,0.02270704194312453,Provincia,App,Billetera,30,26-35,1,1,1,Bronce,Alto,0
Basico,4,10.92203685012391,55.09818110258822,2,43.68814740049564,0.021502300902612344,Provincia,Tienda,Efectivo,27,26-35,19,1,0,Plata,Alto,0
Basico,2,9.256742745280873,55.96692728723213,6,18.513485490561745,0.02243072810070275,Provincia,Web,Transferencia,35,26-35,7,1,0,Bronce,Alto,0
Basico,0,13.961242029351503,61.28953560194865,1,0.0,0.019002918907999662,Provincia,Tienda,Efectivo,26,26-35,21,1,1,Bronce,Alto,0
Basico,4,7.376693054980246,42.88141080904005,1,29.506772219920983,0.02607203910776644,Lima,App,Tarjeta,21,18-25,12,2,1,Plata,Medio,0
Basico,5,11.882818892685494,49.95354699811604,1,59.41409446342747,0.02184048733493574,Lima,App,Tarjeta,18,18-25,6,1,0,Bronce,Alto,0
Basico,2,9.1614776101104,43.949786100190046,1,18.3229552202208,0.02470993817564653,Provincia,Tienda,Efectivo,18,18-25,1,1,0,Bronce,Alto,1
Basico,0,9.52508356597101,53.75618828390131,1,0.0,0.02120124993891156,Provincia,Tienda,Efectivo,33,26-35,1,1,1,Bronce,Alto,0
Basico,0,9.44843832052237,53.69882229640868,1,0.0,0.024413135670208957,Provincia,Web,Transferencia,18,18-25,12,1,1,Bronce,Alto,0
Basico,1,7.462980686517661,37.300497436683095,1,7.462980686517661,0.025601231421238397,Lima,App,Tarjeta,30,26-35,14,2,1,Bronce,Medio,0
Basico,1,9.957703102279986,42.819779640010324,4,9.957703102279986,0.021039183767039355,Lima,Web,Billetera,29,26-35,2,2,0,Bronce,Alto,0
Basico,2,9.812055333634536,51.66380352834569,6,19.624110667269072,0.025945593441603857,Provincia,App,Billetera,42,36-50,1,1,0,Bronce,Alto,0
Basico,2,10.723720745220188,30.86819250377733,1,21.447441490440376,0.029466910116719078,Lima,Tienda,Tarjeta,37,36-50,17,3,1,Plata,Bajo,1
Basico,5,10.253515437078587,40.57449164834159,1,51.26757718539294,0.0260309793334716,Provincia,App,Tarjeta,31,26-35,17,1,1,Plata,Alto,0
Basico,1,12.39398364883671,50.22733167878048,1,12.39398364883671,0.022678223475439675,Provincia,Tienda,Tarjeta,27,26-35,2,1,0,Bronce,Alto,0
Basico,2,12.770525848142107,60.39101136613877,2,25.541051696284214,0.020850624687781642,Provincia,Web,Billetera,25,18-25,8,1,1,Bronce,Alto,0
Basico,4,6.848130034516597,44.75183877870216,1,27.392520138066388,0.024064118240592867,Lima,Web,Transferencia,27,26-35,15,2,0,Plata,Alto,0
Basico,1,12.606317501772313,45.25894980556222,5,12.606317501772313,0.02101238276401013,Lima,Tienda,Efectivo,32,26-35,1,2,0,Bronce,Medio,0
Basico,2,6.440990718670436,28.562930408058463,2,12.881981437340873,0.029231966281604058,Lima,App,Tarjeta,22,18-25,1,3,1,Bronce,Medio,0
Basico,1,11.763567664413205,50.09992860527612,2,11.763567664413205,0.025784039343461445,Provincia,Tienda,Efectivo,37,36-50,18,1,1,Bronce,Alto,0
Basico,4,11.859216354108606,42.467711089228665,1,47.43686541643442,0.02527989622117931,Lima,App,Tarjeta,24,18-25,1,1,1,Bronce,Medio,0
Basico,5,4.266049325012488,34.04005542898741,1,21.33024662506244,0.02473581967562229,Lima,Web,Transferencia,39,36-50,11,2,1,Plata,Medio,0
Basico,2,10.27893773958823,35.30431336452029,1,20.55787547917646,0.024142651040247855,Lima,Web,Tarjeta,23,18-25,11,2,1,Bronce,Medio,0
Basico,1,8.594511659919053,51.2420572470418,6,8.594511659919053,0.0224948828031748,Lima,Tienda,Efectivo,38,36-50,1,1,1,Bronce,Alto,0
Basico,3,7.723704226193875,43.452939059092685,2,23.171112678581625,0.02578917066622986,Provincia,App,Efectivo,42,36-50,20,1,1,Plata,Alto,0
Basico,2,14.052556992097017,43.887492753544485,1,28.105113984194034,0.02398360858416414,Provincia,Web,Tarjeta,44,36-50,1,1,0,Bronce,Alto,0
Basico,5,8.038962578087743,38.054545217863485,1,40.19481289043871,0.02452520096994416,Lima,Web,Tarjeta,23,18-25,13,2,0,Plata,Medio,0
Basico,5,7.580869212645851,36.44644638567979,4,37.904346063229255,0.02749477219309428,Provincia,App,Billetera,36,36-50,5,3,1,Bronce,Medio,0
Basico,5,10.22708482001528,39.9120165971769,1,51.1354241000764,0.024733088819125247,Provincia,App,Transferencia,18,18-25,11,1,1,Plata,Alto,1
Basico,1,12.05676923889525,44.69186212453604,4,12.05676923889525,0.024825167300488473,Provincia,Web,Billetera,18,18-25,8,1,0,Bronce,Alto,0
Basico,0,9.57505424196962,53.43561035777675,1,0.0,0.024891351010799007,Provincia,App,Tarjeta,32,26-35,1,1,1,Bronce,Alto,0
Basico,1,13.499111637007756,46.89528410595859,3,13.499111637007756,0.024296142404901803,Provincia,Web,Tarjeta,34,26-35,7,1,0,Bronce,Alto,0
Basico,2,11.592926985892271,43.417079204486456,2,23.185853971784542,0.024167217208181,Lima,Tienda,Tarjeta,37,36-50,15,1,1,Bronce,Alto,0
Basico,1,3.4653660408057085,42.97705657840061,2,3.4653660408057085,0.025747631328891806,Provincia,Tienda,Efectivo,28,26-35,8,1,1,Bronce,Alto,0
Basico,0,8.411599109478974,60.78871402974541,3,0.0,0.021113271708980686,Provincia,Web,Tarjeta,21,18-25,5,1,0,Bronce,Alto,1
Basico,2,8.314473701944904,32.091270137126116,1,16.628947403889807,0.028447400462439505,Lima,Web,Tarjeta,18,18-25,1,3,0,Bronce,Medio,0
Basico,2,11.438082860288267,41.63336210129411,1,22.876165720576534,0.02674143610877892,Lima,App,Transferencia,20,18-25,1,2,1,Bronce,Medio,0
Basico,1,2.1255488308776647,59.91547668756683,1,2.1255488308776647,0.018214996592408376,Lima,Web,Billetera,35,26-35,3,1,1,Bronce,Alto,0
Basico,0,17.647029126153164,37.614572610895145,2,0.0,0.027925126862186192,Lima,Tienda,Efectivo,39,36-50,18,3,0,Bronce,Medio,0
Basico,3,11.59307828468263,30.226210273861845,1,34.779234854047886,0.02921309279718532,Lima,App,Efectivo,29,26-35,6,4,0,Bronce,Bajo,0
Basico,3,10.446630411753073,54.395899933368156,1,31.33989123525922,0.022385194534408376,Provincia,Web,Transferencia,32,26-35,15,1,1,Plata,Alto,1
Basico,1,13.544703149257439,27.525258497040923,1,13.544703149257439,0.032664366315135404,Lima,Tienda,Efectivo,46,36-50,2,3,1,Bronce,Bajo,0
Basico,0,17.030962158437873,34.592202957921536,3,0.0,0.025110719155855856,Lima,Web,Efectivo,41,36-50,1,2,0,Bronce,Medio,0
Basico,0,12.61223993376521,51.796128026229894,6,0.0,0.019331469597483195,Provincia,Web,Billetera,38,36-50,20,1,1,Bronce,Alto,0
Basico,4,12.84643928941486,46.16831497753073,2,51.38575715765944,0.03005230267665802,Provincia,App,Billetera,36,36-50,2,1,0,Bronce,Alto,0
Basico,1,10.392070073393146,24.374447830331345,1,10.392070073393146,0.03216449946953388,Lima,Web,Billetera,33,26-35,19,3,1,Plata,Medio,0
Basico,3,9.575422739899155,37.278877124926424,1,28.726268219697467,0.02984709869462992,Lima,App,Transferencia,31,26-35,8,3,1,Bronce,Medio,0
Basico,4,8.572613667985296,50.25003909638931,3,34.290454671941184,0.021981984609159223,Provincia,Web,Transferencia,24,18-25,24,1,1,Plata,Alto,0
Basico,1,7.521664024856374,47.37163030008437,3,7.521664024856374,0.021448234741250117,Provincia,Web,Billetera,33,26-35,42,1,1,Oro,Alto,0
Basico,1,7.938957700901508,42.08979800372578,4,7.938957700901508,0.026016560675379403,Lima,Tienda,Efectivo,27,26-35,14,1,0,Bronce,Alto,0
Basico,0,5.94833210697105,48.51303268328663,2,0.0,0.022514377784090635,Provincia,App,Billetera,37,36-50,1,1,1,Bronce,Alto,0
Basico,0,9.77238564794493,59.665589301698965,1,0.0,0.02085450211385417,Provincia,Web,Transferencia,35,26-35,15,1,0,Bronce,Alto,0
Basico,0,4.9459972683208395,57.16868512769465,2,0.0,0.02002533923435737,Provincia,Web,Billetera,27,26-35,14,1,0,Bronce,Alto,0
Basico,3,10.572749572431132,34.607159022250904,3,31.718248717293395,0.02514564129498132,Lima,App,Tarjeta,33,26-35,1,1,1,Bronce,Alto,0
Basico,2,9.891008175872974,35.03090047601549,2,19.78201635174595,0.03390676291222203,Lima,Web,Tarjeta,39,36-50,3,2,0,Bronce,Medio,0
Basico,2,10.440805895160063,30.217896443155553,1,20.881611790320125,0.02710349889872127,Lima,App,Transferencia,20,18-25,6,3,0,Bronce,Medio,0
Basico,1,8.433605289940022,31.426127077144386,2,8.433605289940022,0.02572944320657496,Lima,App,Transferencia,25,18-25,14,1,1,Bronce,Alto,1
Basico,2,19.23058111054151,36.02344258537358,2,38.46116222108302,0.025185550756594705,Lima,App,Tarjeta,19,18-25,1,1,1,Bronce,Alto,0
Basico,2,14.080347700540939,39.780342268234655,1,28.160695401081878,0.02496211811674645,Lima,App,Transferencia,27,26-35,1,2,1,Bronce,Medio,0
Basico,0,6.266372499745832,59.04415745230316,1,0.0,0.021461772949380873,Provincia,Tienda,Tarjeta,43,36-50,1,1,1,Bronce,Alto,0
Basico,1,10.698604262280694,49.947603077970335,4,10.698604262280694,0.021109452833760374,Lima,App,Transferencia,27,26-35,1,1,1,Bronce,Alto,0
Basico,3,8.175981571188029,40.520838305244624,2,24.527944713564086,0.024911792493060945,Lima,Tienda,Efectivo,37,36-50,16,2,0,Plata,Medio,0
Basico,4,6.956560819877758,56.65704802294541,4,27.826243279511033,0.02150888049676766,Provincia,Web,Tarjeta,26,26-35,11,1,0,Bronce,Alto,0
Basico,3,5.979783786628195,41.1325984736106,1,17.939351359884583,0.02337087101621718,Lima,Web,Transferencia,37,36-50,18,2,1,Plata,Medio,0
Basico,0,11.296650072277762,43.62230147609868,1,0.0,0.024199873610923912,Lima,Web,Tarjeta,29,26-35,3,1,0,Bronce,Alto,0
Basico,0,7.955859294791278,55.35001356794064,3,0.0,0.021962228102067605,Provincia,Tienda,Efectivo,38,36-50,3,1,0,Bronce,Alto,0
Basico,0,12.903478072075613,42.04271770241363,2,0.0,0.02417721302902059,Provincia,Tienda,Efectivo,39,36-50,13,1,1,Bronce,Alto,1
Basico,1,12.981346643591317,62.39464063507094,1,12.981346643591317,0.019497336863300102,Provincia,Tienda,Efectivo,24,18-25,19,1,1,Plata,Alto,0
Basico,2,14.121743155634348,35.06993369758071,1,28.243486311268697,0.029578846767171253,Lima,Tienda,Tarjeta,27,26-35,20,3,0,Plata,Medio,0
Basico,2,7.4428397017776895,42.09926652146413,1,14.885679403555379,0.026025302238194145,Provincia,App,Transferencia,24,18-25,1,1,1,Bronce,Alto,0
Basico,5,11.42609683207603,38.46249829591483,1,57.13048416038015,0.0247724615252449,Lima,Tienda,Efectivo,46,36-50,19,3,0,Plata,Medio,0
Basico,1,11.897362649926903,46.6950275977,1,11.897362649926903,0.0231496145839069,Provincia,Tienda,Tarjeta,43,36-50,25,1,1,Plata,Alto,0
Basico,3,8.577465474688106,43.735636442999336,3,25.73239642406432,0.021123873538808353,Lima,App,Tarjeta,28,26-35,14,3,0,Plata,Medio,1
Basico,4,7.684684127821375,50.87824015178572,4,30.7387365112855,0.024463032064955738,Provincia,Tienda,Efectivo,54,51+,22,2,0,Plata,Medio,1
Basico,2,14.828561997327919,37.525403233636055,1,29.657123994655837,0.02950822905727826,Lima,Web,Tarjeta,20,18-25,15,2,1,Bronce,Medio,0
Basico,3,10.682487627196162,56.07431392317009,3,32.04746288158849,0.022117743172991672,Provincia,Tienda,Efectivo,30,26-35,1,1,1,Bronce,Alto,0
Basico,2,11.907903252135213,52.0190508983626,1,23.815806504270427,0.0223339945189011,Provincia,Tienda,Efectivo,41,36-50,19,1,1,Plata,Alto,0
Basico,1,7.533771964516218,32.701889590916544,3,7.533771964516218,0.031958370563130625,Lima,Tienda,Tarjeta,32,26-35,14,3,0,Bronce,Bajo,0
Basico,4,6.342146600433418,44.27186438133711,1,25.368586401733673,0.0244015642453861,Lima,Tienda,Efectivo,25,18-25,1,2,0,Bronce,Medio,0
Basico,1,8.29165067652367,40.12586612594585,2,8.29165067652367,0.030257835323656324,Provincia,App,Billetera,30,26-35,4,3,0,Bronce,Medio,0
Basico,3,9.627935837830009,34.75388500150053,3,28.883807513490027,0.026541571277967076,Lima,App,Billetera,48,36-50,14,1,1,Plata,Alto,0
Basico,1,6.807339979547954,31.611530970394835,2,6.807339979547954,0.02740780637346762,Lima,App,Tarjeta,20,18-25,34,2,1,Plata,Medio,1
Basico,1,9.97046557404885,49.40982910948411,1,9.97046557404885,0.022199369948473907,Provincia,App,Tarjeta,21,18-25,28,1,0,Plata,Alto,0
Basico,3,4.9344844357945,50.24124509402449,1,14.803453307383501,0.02404762341079148,Provincia,Web,Transferencia,21,18-25,1,1,1,Bronce,Alto,1
Basico,0,6.639857732590383,31.551106924694803,2,0.0,0.028925104086534106,Lima,Web,Tarjeta,27,26-35,10,2,1,Bronce,Alto,0
Basico,1,12.012733744830626,53.64658647568791,1,12.012733744830626,0.02202627170506378,Lima,Web,Tarjeta,39,36-50,25,1,0,Plata,Alto,0
Basico,1,11.811371560833683,37.368905963354365,2,11.811371560833683,0.02955871421888736,Lima,Web,Tarjeta,43,36-50,6,2,0,Bronce,Medio,0
Basico,0,8.824369703839402,34.98536864673762,2,0.0,0.02344634607611232,Lima,Tienda,Tarjeta,22,18-25,5,2,1,Bronce,Medio,0
Basico,1,6.946707072769141,34.678202916829285,3,6.946707072769141,0.027078295275687395,Lima,Web,Transferencia,35,26-35,5,1,1,Bronce,Alto,0
Basico,2,6.917789345421967,45.41330623348577,5,13.835578690843935,0.025528689857042663,Provincia,Web,Transferencia,36,36-50,18,1,0,Plata,Alto,0
Basico,0,8.880195262176057,48.53946982714725,2,0.0,0.02297722644313109,Provincia,App,Tarjeta,22,18-25,14,1,1,Bronce,Alto,0
Basico,3,33.399982760451756,45.11075175174324,2,100.19994828135526,0.02293196816822292,Lima,App,Transferencia,33,26-35,15,1,1,Plata,Alto,0
Basico,4,12.784737074032973,51.8949411830444,1,51.13894829613189,0.020971023231537846,Provincia,Web,Transferencia,33,26-35,8,1,0,Bronce,Alto,0
Basico,4,8.510404793554093,34.83911035030826,4,34.04161917421637,0.02463737995752657,Lima,Web,Transferencia,39,36-50,27,1,1,Plata,Alto,1
Basico,1,6.539522722045648,37.97611917380062,2,6.539522722045648,0.02351156824649278,Lima,Web,Billetera,18,18-25,7,1,1,Bronce,Alto,0
Basico,1,10.803530913599,32.95046158036422,2,10.803530913599,0.025765683062654237,Lima,Web,Billetera,32,26-35,19,2,1,Plata,Medio,1
Basico,0,7.529395088122452,39.72891676821151,1,0.0,0.023860682582620616,Lima,App,Transferencia,34,26-35,1,1,1,Bronce,Alto,1
Basico,0,8.445242083416392,45.45025875703449,1,0.0,0.023149525201918927,Lima,App,Billetera,35,26-35,10,1,0,Bronce,Alto,0
Basico,4,13.975828271311112,48.40589067030796,1,55.90331308524445,0.02468620698079378,Provincia,Tienda,Tarjeta,38,36-50,5,1,1,Bronce,Alto,0
Basico,2,12.481346285697304,38.22420797786668,1,24.96269257139461,0.03126832364850668,Provincia,App,Transferencia,18,18-25,11,1,1,Bronce,Alto,0
Basico,1,10.473922936754356,51.49488309232599,2,10.473922936754356,0.023442616452693216,Provincia,Web,Billetera,41,36-50,1,1,0,Bronce,Alto,0
Basico,1,6.1842429966618315,48.33611292422202,3,6.1842429966618315,0.02335204207813749,Lima,Tienda,Efectivo,38,36-50,26,1,0,Plata,Alto,1
Basico,3,10.634189702411977,30.476382656811097,3,31.90256910723593,0.026596358223283694,Lima,App,Tarjeta,27,26-35,12,4,0,Bronce,Bajo,0
Basico,4,13.18797187236258,38.96981299813519,4,52.75188748945032,0.02892006840799501,Provincia,Web,Tarjeta,30,26-35,32,2,0,Oro,Medio,0
Basico,4,8.873099002703393,44.85290602760012,3,35.49239601081357,0.020669956382163273,Lima,Web,Efectivo,44,36-50,18,1,1,Plata,Alto,0
Basico,3,14.053342269960146,47.773286646441576,1,42.160026809880435,0.02301113200897451,Provincia,Web,Transferencia,36,36-50,13,1,1,Bronce,Alto,0
Basico,2,13.878235868554622,52.733541189945925,3,27.756471737109244,0.025091209780937818,Provincia,App,Billetera,28,26-35,10,1,0,Bronce,Alto,1
Basico,2,14.991198496430421,40.85453253666168,1,29.982396992860842,0.02831671119107893,Provincia,Tienda,Tarjeta,25,18-25,17,1,1,Plata,Alto,0
Basico,0,10.915729379594058,34.81115225720942,2,0.0,0.027106936915925563,Lima,App,Billetera,25,18-25,18,3,0,Bronce,Bajo,0
Basico,4,11.762175099418037,55.781563504469254,1,47.04870039767215,0.02104689265230666,Provincia,Web,Tarjeta,23,18-25,15,1,1,Plata,Alto,0
Basico,2,14.24256186499327,45.00180682939828,1,28.48512372998654,0.023987540082391217,Provincia,Web,Billetera,18,18-25,33,1,0,Plata,Alto,0
Basico,5,11.342181811206927,53.71011383896643,1,56.71090905603464,0.026145797298666826,Provincia,App,Billetera,29,26-35,22,1,1,Plata,Alto,0
Basico,2,8.496297676629363,47.78158457686356,4,16.992595353258725,0.022962931821148145,Provincia,App,Tarjeta,18,18-25,4,1,1,Bronce,Alto,0
Basico,0,8.654371490416416,29.735425748091465,1,0.0,0.02707971605780994,Lima,App,Tarjeta,22,18-25,2,3,0,Bronce,Bajo,0
Basico,3,10.715664861321217,47.53593411740281,2,32.146994583963654,0.020616764891022002,Lima,Web,Tarjeta,28,26-35,14,1,1,Plata,Alto,0
Basico,5,6.128315734161344,60.29709292147596,2,30.64157867080672,0.020936268821838452,Provincia,App,Billetera,18,18-25,12,1,1,Plata,Alto,0
Basico,1,9.570223253907422,35.862890128959194,1,9.570223253907422,0.025861759308413772,Lima,Tienda,Efectivo,40,36-50,13,2,0,Bronce,Alto,0
