dFecha,ID,Target,cNivelEducacion,cNivelEducacion_label,NivelEducacion_grupo,cGenero,cGenero_label,nEdad,cEstadoCivil,cEstadoCivil_label,cRelaciónConJefe_Hogar,cRelaciónConJefe_Hogar_label,Distrito,Provincia,Departamento,nNumMienbrosHogar,cEstratoSocial,cEstratoSocial_label,cCondicionVivienda,cCondicionVivienda_label,nNumHabitaciones
2024-01-01,6,1,8,superior no universitaria completa,superior,2,Mujer,31,1,conviviente,2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,4,4,D,6,Cedida por otro hogar o institución,1
2024-01-01,7,1,7,superior no universitaria incompleta,superior,1,Hombre,39,2,casado(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,3,4,D,1,Alquilada,3
2024-01-01,7,1,8,superior no universitaria completa,superior,2,Mujer,42,2,casado(a),2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,3,4,D,1,Alquilada,3
2024-01-01,8,1,4,primaria completa,primaria,1,Hombre,67,2,casado(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,3,5,E,2,"Propia, totalmente pagada",5
2024-01-01,8,1,1,sin nivel,sin nivel,2,Mujer,55,2,casado(a),2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,3,5,E,2,"Propia, totalmente pagada",5
2024-01-01,8,0,3,primaria incompleta,primaria,1,Hombre,94,3,viudo(a),6,Padres/Suegros,Chachapoyas,Chachapoyas,Amazonas,3,5,E,2,"Propia, totalmente pagada",5
2024-01-01,9,0,4,primaria completa,primaria,2,Mujer,55,5,separado(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,2,5,E,2,"Propia, totalmente pagada",3
2024-01-01,9,0,3,primaria incompleta,primaria,2,Mujer,90,3,viudo(a),6,Padres/Suegros,Chachapoyas,Chachapoyas,Amazonas,2,5,E,2,"Propia, totalmente pagada",3
2024-01-01,10,1,7,superior no universitaria incompleta,superior,2,Mujer,26,6,soltero(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,3,5,E,6,Cedida por otro hogar o institución,1
2024-01-01,10,0,6,secundaria completa,secundaria,2,Mujer,17,6,soltero(a),11,Hermano(a),Chachapoyas,Chachapoyas,Amazonas,3,5,E,6,Cedida por otro hogar o institución,1
2024-01-01,11,1,8,superior no universitaria completa,superior,1,Hombre,59,1,conviviente,1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,2,5,E,2,"Propia, totalmente pagada",6
2024-01-01,11,1,8,superior no universitaria completa,superior,2,Mujer,48,1,conviviente,2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,2,5,E,2,"Propia, totalmente pagada",6
2024-01-01,12,1,10,superior universitaria completa,superior,1,Hombre,36,1,conviviente,1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,4,5,E,2,"Propia, totalmente pagada",4
2024-01-01,12,0,8,superior no universitaria completa,superior,2,Mujer,29,1,conviviente,2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,4,5,E,2,"Propia, totalmente pagada",4
2024-01-01,13,0,8,superior no universitaria completa,superior,2,Mujer,29,1,conviviente,1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,4,5,E,6,Cedida por otro hogar o institución,3
2024-01-01,13,1,8,superior no universitaria completa,superior,1,Hombre,32,1,conviviente,2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,4,5,E,6,Cedida por otro hogar o institución,3
2024-01-01,13,1,7,superior no universitaria incompleta,superior,2,Mujer,24,6,soltero(a),11,Hermano(a),Chachapoyas,Chachapoyas,Amazonas,4,5,E,6,Cedida por otro hogar o institución,3
2024-01-01,14,1,6,secundaria completa,secundaria,1,Hombre,28,6,soltero(a),1,Jefe/Jefa,Jazan,Bongara,Amazonas,1,4,D,2,"Propia, totalmente pagada",1
2024-01-01,15,1,6,secundaria completa,secundaria,1,Hombre,50,2,casado(a),1,Jefe/Jefa,Jazan,Bongara,Amazonas,5,4,D,2,"Propia, totalmente pagada",6
2024-01-01,15,0,10,superior universitaria completa,superior,2,Mujer,47,2,casado(a),2,Esposo(a)/compañero(a),Jazan,Bongara,Amazonas,5,4,D,2,"Propia, totalmente pagada",6
2024-01-01,15,1,9,superior universitaria incompleta,superior,2,Mujer,28,6,soltero(a),3,Hijo(a)/Hijastro(a),Jazan,Bongara,Amazonas,5,4,D,2,"Propia, totalmente pagada",6
2024-01-01,15,0,7,superior no universitaria incompleta,superior,1,Hombre,18,6,soltero(a),3,Hijo(a)/Hijastro(a),Jazan,Bongara,Amazonas,5,4,D,2,"Propia, totalmente pagada",6
2024-01-01,16,1,3,primaria incompleta,primaria,2,Mujer,75,3,viudo(a),1,Jefe/Jefa,Jazan,Bongara,Amazonas,1,4,D,6,Cedida por otro hogar o institución, 
2024-01-01,17,0,6,secundaria completa,secundaria,2,Mujer,70,5,separado(a),1,Jefe/Jefa,Jazan,Bongara,Amazonas,1,4,D,2,"Propia, totalmente pagada",1
2024-01-01,18,1,6,secundaria completa,secundaria,1,Hombre,37,1,conviviente,1,Jefe/Jefa,Jazan,Bongara,Amazonas,6,4,D,6,Cedida por otro hogar o institución,4
2024-01-01,18,0,6,secundaria completa,secundaria,2,Mujer,33,1,conviviente,2,Esposo(a)/compañero(a),Jazan,Bongara,Amazonas,6,4,D,6,Cedida por otro hogar o institución,4
2024-01-01,18,1,6,secundaria completa,secundaria,1,Hombre,16,6,soltero(a),3,Hijo(a)/Hijastro(a),Jazan,Bongara,Amazonas,6,4,D,6,Cedida por otro hogar o institución,4
2024-01-01,18,1,7,superior no universitaria incompleta,superior,1,Hombre,58,5,separado(a),10,Otros no parientes,Jazan,Bongara,Amazonas,6,4,D,6,Cedida por otro hogar o institución,4
2024-01-01,19,1,6,secundaria completa,secundaria,2,Mujer,34,5,separado(a),1,Jefe/Jefa,Jazan,Bongara,Amazonas,3,4,D,1,Alquilada,1
2024-01-01,20,1,1,sin nivel,sin nivel,2,Mujer,43,5,separado(a),1,Jefe/Jefa,Jazan,Bongara,Amazonas,2,4,D,2,"Propia, totalmente pagada",3
2024-01-01,21,1,6,secundaria completa,secundaria,1,Hombre,37,2,casado(a),1,Jefe/Jefa,Bagua Grande,Utcubamba,Amazonas,4,5,E,2,"Propia, totalmente pagada",3
2024-01-01,21,1,3,primaria incompleta,primaria,2,Mujer,37,2,casado(a),2,Esposo(a)/compañero(a),Bagua Grande,Utcubamba,Amazonas,4,5,E,2,"Propia, totalmente pagada",3
2024-01-01,21,0,5,secundaria incompleta,secundaria,1,Hombre,14,6,soltero(a),3,Hijo(a)/Hijastro(a),Bagua Grande,Utcubamba,Amazonas,4,5,E,2,"Propia, totalmente pagada",3
2024-01-01,22,1,4,primaria completa,primaria,1,Hombre,66,2,casado(a),1,Jefe/Jefa,Bagua Grande,Utcubamba,Amazonas,3,5,E,2,"Propia, totalmente pagada",2
2024-01-01,22,1,6,secundaria completa,secundaria,2,Mujer,50,2,casado(a),2,Esposo(a)/compañero(a),Bagua Grande,Utcubamba,Amazonas,3,5,E,2,"Propia, totalmente pagada",2
2024-01-01,23,1,3,primaria incompleta,primaria,2,Mujer,43,5,separado(a),1,Jefe/Jefa,Bagua Grande,Utcubamba,Amazonas,2,5,E,2,"Propia, totalmente pagada",4
2024-01-01,23,1,8,superior no universitaria completa,superior,1,Hombre,21,6,soltero(a),3,Hijo(a)/Hijastro(a),Bagua Grande,Utcubamba,Amazonas,2,5,E,2,"Propia, totalmente pagada",4
2024-01-01,24,1,6,secundaria completa,secundaria,2,Mujer,24,1,conviviente,1,Jefe/Jefa,Bagua Grande,Utcubamba,Amazonas,4,5,E,6,Cedida por otro hogar o institución,1
2024-01-01,24,1,8,superior no universitaria completa,superior,1,Hombre,43,1,conviviente,2,Esposo(a)/compañero(a),Bagua Grande,Utcubamba,Amazonas,4,5,E,6,Cedida por otro hogar o institución,1
2024-01-01,25,1,5,secundaria incompleta,secundaria,2,Mujer,35,5,separado(a),1,Jefe/Jefa,Bagua Grande,Utcubamba,Amazonas,5,5,E,6,Cedida por otro hogar o institución,1
2024-01-01,25,1,7,superior no universitaria incompleta,superior,2,Mujer,18,6,soltero(a),3,Hijo(a)/Hijastro(a),Bagua Grande,Utcubamba,Amazonas,5,5,E,6,Cedida por otro hogar o institución,1
2024-01-01,26,1,4,primaria completa,primaria,1,Hombre,40,1,conviviente,1,Jefe/Jefa,Bagua Grande,Utcubamba,Amazonas,5,5,E,6,Cedida por otro hogar o institución,5
2024-01-01,26,1,3,primaria incompleta,primaria,2,Mujer,32,1,conviviente,2,Esposo(a)/compañero(a),Bagua Grande,Utcubamba,Amazonas,5,5,E,6,Cedida por otro hogar o institución,5
2024-01-01,26,0,6,secundaria completa,secundaria,2,Mujer,18,6,soltero(a),3,Hijo(a)/Hijastro(a),Bagua Grande,Utcubamba,Amazonas,5,5,E,6,Cedida por otro hogar o institución,5
2024-01-01,27,1,6,secundaria completa,secundaria,1,Hombre,66,2,casado(a),1,Jefe/Jefa,Lonya Grande,Utcubamba,Amazonas,3,5,E,2,"Propia, totalmente pagada",5
2024-01-01,27,0,6,secundaria completa,secundaria,2,Mujer,55,2,casado(a),2,Esposo(a)/compañero(a),Lonya Grande,Utcubamba,Amazonas,3,5,E,2,"Propia, totalmente pagada",5
2024-01-01,27,0,1,sin nivel,sin nivel,2,Mujer,88,6,soltero(a),6,Padres/Suegros,Lonya Grande,Utcubamba,Amazonas,3,5,E,2,"Propia, totalmente pagada",5
2024-01-01,28,1,6,secundaria completa,secundaria,1,Hombre,38,2,casado(a),1,Jefe/Jefa,Lonya Grande,Utcubamba,Amazonas,5,5,E,6,Cedida por otro hogar o institución,4
2024-01-01,28,0,6,secundaria completa,secundaria,2,Mujer,33,2,casado(a),2,Esposo(a)/compañero(a),Lonya Grande,Utcubamba,Amazonas,5,5,E,6,Cedida por otro hogar o institución,4
2024-01-01,29,1,8,superior no universitaria completa,superior,1,Hombre,30,6,soltero(a),1,Jefe/Jefa,Lonya Grande,Utcubamba,Amazonas,2,5,E,1,Alquilada,2
2024-01-01,29,1,3,primaria incompleta,primaria,2,Mujer,61,5,separado(a),6,Padres/Suegros,Lonya Grande,Utcubamba,Amazonas,2,5,E,1,Alquilada,2
2024-01-01,30,1,6,secundaria completa,secundaria,2,Mujer,26,6,soltero(a),1,Jefe/Jefa,Bagua,Bagua,Amazonas,1,4,D,1,Alquilada,2
2024-01-01,31,1,8,superior no universitaria completa,superior,2,Mujer,44,5,separado(a),1,Jefe/Jefa,Bagua,Bagua,Amazonas,1,4,D,1,Alquilada,4
2024-01-01,32,1,6,secundaria completa,secundaria,1,Hombre,40,1,conviviente,1,Jefe/Jefa,Bagua,Bagua,Amazonas,4,4,D,6,Cedida por otro hogar o institución,4
2024-01-01,32,0,6,secundaria completa,secundaria,2,Mujer,36,1,conviviente,2,Esposo(a)/compañero(a),Bagua,Bagua,Amazonas,4,4,D,6,Cedida por otro hogar o institución,4
2024-01-01,32,0,5,secundaria incompleta,secundaria,1,Hombre,14,6,soltero(a),3,Hijo(a)/Hijastro(a),Bagua,Bagua,Amazonas,4,4,D,6,Cedida por otro hogar o institución,4
2024-01-01,33,1,5,secundaria incompleta,secundaria,1,Hombre,38,1,conviviente,1,Jefe/Jefa,Bagua,Bagua,Amazonas,8,4,D,6,Cedida por otro hogar o institución,1
2024-01-01,33,0,5,secundaria incompleta,secundaria,2,Mujer,35,1,conviviente,2,Esposo(a)/compañero(a),Bagua,Bagua,Amazonas,8,4,D,6,Cedida por otro hogar o institución,1
2024-01-01,33,0,7,superior no universitaria incompleta,superior,2,Mujer,19,6,soltero(a),3,Hijo(a)/Hijastro(a),Bagua,Bagua,Amazonas,8,4,D,6,Cedida por otro hogar o institución,1
2024-01-01,33,0,6,secundaria completa,secundaria,2,Mujer,16,6,soltero(a),3,Hijo(a)/Hijastro(a),Bagua,Bagua,Amazonas,8,4,D,6,Cedida por otro hogar o institución,1
2024-01-01,33,0,5,secundaria incompleta,secundaria,2,Mujer,14,6,soltero(a),3,Hijo(a)/Hijastro(a),Bagua,Bagua,Amazonas,8,4,D,6,Cedida por otro hogar o institución,1
2024-01-01,34,1,5,secundaria incompleta,secundaria,2,Mujer,36,5,separado(a),1,Jefe/Jefa,Bagua,Bagua,Amazonas,2,4,D,6,Cedida por otro hogar o institución, 
2024-01-01,35,1,4,primaria completa,primaria,1,Hombre,30,1,conviviente,1,Jefe/Jefa,Bagua,Bagua,Amazonas,4,4,D,6,Cedida por otro hogar o institución, 
2024-01-01,35,1,6,secundaria completa,secundaria,2,Mujer,32,1,conviviente,2,Esposo(a)/compañero(a),Bagua,Bagua,Amazonas,4,4,D,6,Cedida por otro hogar o institución, 
2024-01-01,36,1,6,secundaria completa,secundaria,1,Hombre,22,1,conviviente,1,Jefe/Jefa,Bagua,Bagua,Amazonas,4,4,D,6,Cedida por otro hogar o institución,2
2024-01-01,36,0,6,secundaria completa,secundaria,2,Mujer,31,1,conviviente,2,Esposo(a)/compañero(a),Bagua,Bagua,Amazonas,4,4,D,6,Cedida por otro hogar o institución,2
2024-01-01,37,0,4,primaria completa,primaria,1,Hombre,81,3,viudo(a),1,Jefe/Jefa,Bagua,Bagua,Amazonas,1,4,D,2,"Propia, totalmente pagada", 
2024-01-01,38,0,5,secundaria incompleta,secundaria,2,Mujer,62,3,viudo(a),1,Jefe/Jefa,Bagua,Bagua,Amazonas,1,4,D,2,"Propia, totalmente pagada",1
2024-01-01,39,1,4,primaria completa,primaria,1,Hombre,43,2,casado(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,39,1,3,primaria incompleta,primaria,2,Mujer,40,2,casado(a),2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,39,1,4,primaria completa,primaria,1,Hombre,16,6,soltero(a),3,Hijo(a)/Hijastro(a),Chachapoyas,Chachapoyas,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,39,1,4,primaria completa,primaria,1,Hombre,14,6,soltero(a),3,Hijo(a)/Hijastro(a),Chachapoyas,Chachapoyas,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,40,1,3,primaria incompleta,primaria,1,Hombre,46,2,casado(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,4,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,40,1,3,primaria incompleta,primaria,2,Mujer,45,2,casado(a),2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,4,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,40,0,6,secundaria completa,secundaria,2,Mujer,19,6,soltero(a),3,Hijo(a)/Hijastro(a),Chachapoyas,Chachapoyas,Amazonas,4,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,41,1,3,primaria incompleta,primaria,1,Hombre,56,6,soltero(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,2,6,Rural,2,"Propia, totalmente pagada",2
2024-01-01,41,1,3,primaria incompleta,primaria,1,Hombre,42,6,soltero(a),11,Hermano(a),Chachapoyas,Chachapoyas,Amazonas,2,6,Rural,2,"Propia, totalmente pagada",2
2024-01-01,42,1,4,primaria completa,primaria,1,Hombre,39,2,casado(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",5
2024-01-01,42,1,4,primaria completa,primaria,2,Mujer,35,2,casado(a),2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",5
2024-01-01,42,0,6,secundaria completa,secundaria,2,Mujer,18,6,soltero(a),3,Hijo(a)/Hijastro(a),Chachapoyas,Chachapoyas,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",5
2024-01-01,42,1,3,primaria incompleta,primaria,1,Hombre,56,6,soltero(a),7,Otros parientes,Chachapoyas,Chachapoyas,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",5
2024-01-01,42,1,3,primaria incompleta,primaria,1,Hombre,21,6,soltero(a),7,Otros parientes,Chachapoyas,Chachapoyas,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",5
2024-01-01,43,1,3,primaria incompleta,primaria,2,Mujer,81,3,viudo(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,1,6,Rural,2,"Propia, totalmente pagada",2
2024-01-01,44,1,10,superior universitaria completa,superior,2,Mujer,52,6,soltero(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,2,6,Rural,2,"Propia, totalmente pagada",1
2024-01-01,44,0,3,primaria incompleta,primaria,2,Mujer,88,3,viudo(a),6,Padres/Suegros,Chachapoyas,Chachapoyas,Amazonas,2,6,Rural,2,"Propia, totalmente pagada",1
2024-01-01,45,1,4,primaria completa,primaria,1,Hombre,64,2,casado(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,2,6,Rural,2,"Propia, totalmente pagada",1
2024-01-01,45,1,4,primaria completa,primaria,2,Mujer,56,2,casado(a),2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,2,6,Rural,2,"Propia, totalmente pagada",1
2024-01-01,46,1,4,primaria completa,primaria,1,Hombre,48,2,casado(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,4,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,46,1,4,primaria completa,primaria,2,Mujer,43,2,casado(a),2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,4,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,46,1,4,primaria completa,primaria,1,Hombre,25,6,soltero(a),3,Hijo(a)/Hijastro(a),Chachapoyas,Chachapoyas,Amazonas,4,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,46,0,6,secundaria completa,secundaria,1,Hombre,17,6,soltero(a),3,Hijo(a)/Hijastro(a),Chachapoyas,Chachapoyas,Amazonas,4,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,47,1,4,primaria completa,primaria,1,Hombre,37,5,separado(a),1,Jefe/Jefa,Santo Tomas,Luya,Amazonas,1,6,Rural,2,"Propia, totalmente pagada",1
2024-01-01,48,1,4,primaria completa,primaria,2,Mujer,61,3,viudo(a),1,Jefe/Jefa,Santo Tomas,Luya,Amazonas,2,6,Rural,2,"Propia, totalmente pagada",3
2024-01-01,48,1,5,secundaria incompleta,secundaria,1,Hombre,24,6,soltero(a),3,Hijo(a)/Hijastro(a),Santo Tomas,Luya,Amazonas,2,6,Rural,2,"Propia, totalmente pagada",3
2024-01-01,49,1,4,primaria completa,primaria,1,Hombre,54,2,casado(a),1,Jefe/Jefa,Santo Tomas,Luya,Amazonas,9,6,Rural,2,"Propia, totalmente pagada",5
2024-01-01,49,0,4,primaria completa,primaria,2,Mujer,48,2,casado(a),2,Esposo(a)/compañero(a),Santo Tomas,Luya,Amazonas,9,6,Rural,2,"Propia, totalmente pagada",5
2024-01-01,49,1,6,secundaria completa,secundaria,2,Mujer,19,6,soltero(a),3,Hijo(a)/Hijastro(a),Santo Tomas,Luya,Amazonas,9,6,Rural,2,"Propia, totalmente pagada",5
2024-01-01,49,1,5,secundaria incompleta,secundaria,1,Hombre,15,6,soltero(a),3,Hijo(a)/Hijastro(a),Santo Tomas,Luya,Amazonas,9,6,Rural,2,"Propia, totalmente pagada",5
2024-01-01,49,1,6,secundaria completa,secundaria,2,Mujer,18,6,soltero(a),3,Hijo(a)/Hijastro(a),Santo Tomas,Luya,Amazonas,9,6,Rural,2,"Propia, totalmente pagada",5
2024-01-01,50,1,5,secundaria incompleta,secundaria,2,Mujer,61,5,separado(a),1,Jefe/Jefa,Santo Tomas,Luya,Amazonas,1,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,51,1,4,primaria completa,primaria,1,Hombre,32,1,conviviente,1,Jefe/Jefa,Santo Tomas,Luya,Amazonas,7,6,Rural,1,Alquilada,1
2024-01-01,51,1,4,primaria completa,primaria,2,Mujer,32,1,conviviente,2,Esposo(a)/compañero(a),Santo Tomas,Luya,Amazonas,7,6,Rural,1,Alquilada,1
2024-01-01,51,1,5,secundaria incompleta,secundaria,1,Hombre,14,6,soltero(a),3,Hijo(a)/Hijastro(a),Santo Tomas,Luya,Amazonas,7,6,Rural,1,Alquilada,1
2024-01-01,52,1,1,sin nivel,sin nivel,1,Hombre,25,1,conviviente,1,Jefe/Jefa,Santo Tomas,Luya,Amazonas,2,6,Rural,1,Alquilada,1
2024-01-01,52,1,6,secundaria completa,secundaria,2,Mujer,20,1,conviviente,2,Esposo(a)/compañero(a),Santo Tomas,Luya,Amazonas,2,6,Rural,1,Alquilada,1
2024-01-01,53,1,4,primaria completa,primaria,1,Hombre,31,1,conviviente,1,Jefe/Jefa,Santo Tomas,Luya,Amazonas,4,6,Rural,6,Cedida por otro hogar o institución,1
2024-01-01,53,0,3,primaria incompleta,primaria,2,Mujer,30,1,conviviente,2,Esposo(a)/compañero(a),Santo Tomas,Luya,Amazonas,4,6,Rural,6,Cedida por otro hogar o institución,1
2024-01-01,54,0,1,sin nivel,sin nivel,2,Mujer,88,3,viudo(a),1,Jefe/Jefa,Santo Tomas,Luya,Amazonas,1,6,Rural,6,Cedida por otro hogar o institución,5
2024-01-01,55,1,4,primaria completa,primaria,2,Mujer,71,5,separado(a),1,Jefe/Jefa,Colcamar,Luya,Amazonas,1,6,Rural,2,"Propia, totalmente pagada",2
2024-01-01,56,1,4,primaria completa,primaria,2,Mujer,61,3,viudo(a),1,Jefe/Jefa,Colcamar,Luya,Amazonas,1,6,Rural,2,"Propia, totalmente pagada",2
2024-01-01,57,1,3,primaria incompleta,primaria,1,Hombre,87,2,casado(a),1,Jefe/Jefa,Colcamar,Luya,Amazonas,2,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,57,0,3,primaria incompleta,primaria,2,Mujer,84,2,casado(a),2,Esposo(a)/compañero(a),Colcamar,Luya,Amazonas,2,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,58,1,6,secundaria completa,secundaria,1,Hombre,46,1,conviviente,1,Jefe/Jefa,Colcamar,Luya,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",6
2024-01-01,58,0,5,secundaria incompleta,secundaria,2,Mujer,40,1,conviviente,2,Esposo(a)/compañero(a),Colcamar,Luya,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",6
2024-01-01,58,0,9,superior universitaria incompleta,superior,2,Mujer,22,6,soltero(a),3,Hijo(a)/Hijastro(a),Colcamar,Luya,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",6
2024-01-01,59,1,3,primaria incompleta,primaria,1,Hombre,27,6,soltero(a),1,Jefe/Jefa,Colcamar,Luya,Amazonas,3,6,Rural,2,"Propia, totalmente pagada",2
2024-01-01,59,1,3,primaria incompleta,primaria,1,Hombre,59,2,casado(a),6,Padres/Suegros,Colcamar,Luya,Amazonas,3,6,Rural,2,"Propia, totalmente pagada",2
2024-01-01,59,1,3,primaria incompleta,primaria,2,Mujer,67,2,casado(a),6,Padres/Suegros,Colcamar,Luya,Amazonas,3,6,Rural,2,"Propia, totalmente pagada",2
2024-01-01,60,1,4,primaria completa,primaria,1,Hombre,34,2,casado(a),1,Jefe/Jefa,Colcamar,Luya,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",3
2024-01-01,60,1,3,primaria incompleta,primaria,2,Mujer,33,2,casado(a),2,Esposo(a)/compañero(a),Colcamar,Luya,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",3
2024-01-01,61,1,1,sin nivel,sin nivel,2,Mujer,74,5,separado(a),1,Jefe/Jefa,Colcamar,Luya,Amazonas,1,6,Rural,2,"Propia, totalmente pagada",3
2024-01-01,62,1,3,primaria incompleta,primaria,1,Hombre,41,1,conviviente,1,Jefe/Jefa,Colcamar,Luya,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,62,1,1,sin nivel,sin nivel,2,Mujer,29,1,conviviente,2,Esposo(a)/compañero(a),Colcamar,Luya,Amazonas,5,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,63,1,6,secundaria completa,secundaria,2,Mujer,63,6,soltero(a),1,Jefe/Jefa,Lamud,Luya,Amazonas,1,6,Rural,2,"Propia, totalmente pagada",6
2024-01-01,64,1,6,secundaria completa,secundaria,1,Hombre,66,2,casado(a),1,Jefe/Jefa,Lamud,Luya,Amazonas,4,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,64,1,6,secundaria completa,secundaria,2,Mujer,55,2,casado(a),2,Esposo(a)/compañero(a),Lamud,Luya,Amazonas,4,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,64,1,9,superior universitaria incompleta,superior,1,Hombre,24,6,soltero(a),3,Hijo(a)/Hijastro(a),Lamud,Luya,Amazonas,4,6,Rural,2,"Propia, totalmente pagada",4
2024-01-01,65,1,3,primaria incompleta,primaria,1,Hombre,71,2,casado(a),1,Jefe/Jefa,Lamud,Luya,Amazonas,7,6,Rural,2,"Propia, totalmente pagada",3
